X,Y,Z,NewNodetime
49.0,-245.0,-133.0,421
49.0,-238.0,-133.0,422
49.0,-231.0,-147.0,423
49.0,-210.0,-133.0,424
56.0,-189.0,-112.0,425
63.0,-175.0,-112.0,426
84.0,-182.0,-119.0,427
91.0,-189.0,-119.0,428
91.0,-196.0,-119.0,429
98.0,-203.0,-112.0,430
112.0,-224.0,-112.0,431
98.0,-196.0,-91.0,432
105.0,-203.0,-105.0,433
98.0,-182.0,-105.0,434
98.0,-154.0,-105.0,435
105.0,-147.0,-98.0,436
98.0,-126.0,-91.0,437
105.0,-112.0,-84.0,438
112.0,-98.0,-91.0,439
112.0,-77.0,-91.0,440
126.0,-77.0,-91.0,441
126.0,-63.0,-91.0,442
133.0,-70.0,-91.0,443
140.0,-70.0,-98.0,444
140.0,-77.0,-98.0,445
140.0,-77.0,-98.0,446
147.0,-91.0,-105.0,447
147.0,-98.0,-105.0,448
154.0,-112.0,-105.0,449
161.0,-133.0,-112.0,450
161.0,-161.0,-112.0,451
154.0,-154.0,-105.0,452
140.0,-161.0,-112.0,453
147.0,-154.0,-105.0,454
147.0,-154.0,-98.0,455
154.0,-154.0,-91.0,456
147.0,-133.0,-84.0,457
140.0,-119.0,-84.0,458
147.0,-98.0,-77.0,459
140.0,-98.0,-77.0,460
140.0,-98.0,-77.0,461
112.0,-77.0,-77.0,462
126.0,-84.0,-84.0,463
126.0,-77.0,-84.0,464
112.0,-70.0,-77.0,465
105.0,-77.0,-77.0,466
105.0,-98.0,-77.0,467
112.0,-119.0,-91.0,468
112.0,-133.0,-105.0,469
105.0,-147.0,-105.0,470
112.0,-154.0,-112.0,471
98.0,-147.0,-105.0,472
98.0,-168.0,-112.0,473
91.0,-175.0,-112.0,474
91.0,-182.0,-112.0,475
84.0,-182.0,-112.0,476
77.0,-182.0,-112.0,477
77.0,-182.0,-119.0,478
70.0,-175.0,-105.0,479
70.0,-161.0,-98.0,480
63.0,-168.0,-98.0,481
63.0,-168.0,-98.0,482
70.0,-182.0,-105.0,483
56.0,-168.0,-105.0,484
56.0,-175.0,-91.0,485
63.0,-175.0,-91.0,486
63.0,-154.0,-84.0,487
77.0,-147.0,-84.0,488
77.0,-154.0,-84.0,489
70.0,-147.0,-91.0,490
84.0,-168.0,-98.0,491
77.0,-154.0,-91.0,492
84.0,-154.0,-91.0,493
84.0,-147.0,-91.0,494
84.0,-154.0,-105.0,495
77.0,-175.0,-105.0,496
70.0,-175.0,-112.0,497
70.0,-182.0,-112.0,498
70.0,-182.0,-112.0,499
77.0,-182.0,-105.0,500
84.0,-196.0,-112.0,501
70.0,-168.0,-105.0,502
84.0,-182.0,-105.0,503
91.0,-182.0,-105.0,504
91.0,-196.0,-105.0,505
98.0,-189.0,-112.0,506
98.0,-175.0,-98.0,507
98.0,-161.0,-105.0,508
98.0,-140.0,-105.0,509
105.0,-133.0,-91.0,510
126.0,-133.0,-98.0,511
112.0,-105.0,-98.0,512
119.0,-126.0,-105.0,513
119.0,-133.0,-105.0,514
126.0,-140.0,-112.0,515
119.0,-140.0,-112.0,516
119.0,-133.0,-112.0,517
119.0,-126.0,-98.0,518
126.0,-119.0,-98.0,519
119.0,-119.0,-91.0,520
126.0,-133.0,-98.0,521
119.0,-119.0,-105.0,522
126.0,-140.0,-112.0,523
147.0,-154.0,-112.0,524
140.0,-140.0,-105.0,525
140.0,-126.0,-98.0,526
133.0,-105.0,-91.0,527
133.0,-98.0,-77.0,528
140.0,-91.0,-77.0,529
147.0,-91.0,-77.0,530
154.0,-91.0,-84.0,531
140.0,-91.0,-77.0,532
133.0,-119.0,-91.0,533
133.0,-119.0,-91.0,534
133.0,-133.0,-98.0,535
133.0,-154.0,-105.0,536
119.0,-140.0,-98.0,537
112.0,-140.0,-91.0,538
112.0,-140.0,-91.0,539
105.0,-140.0,-84.0,540
105.0,-175.0,-98.0,541
98.0,-154.0,-98.0,542
105.0,-182.0,-98.0,543
98.0,-189.0,-112.0,544
91.0,-182.0,-112.0,545
84.0,-189.0,-112.0,546
84.0,-182.0,-91.0,547
84.0,-182.0,-98.0,548
84.0,-182.0,-105.0,549
84.0,-168.0,-98.0,550
91.0,-182.0,-98.0,551
70.0,-147.0,-84.0,552
70.0,-140.0,-77.0,553
63.0,-133.0,-70.0,554
56.0,-126.0,-70.0,555
63.0,-140.0,-84.0,556
70.0,-154.0,-84.0,557
70.0,-168.0,-84.0,558
70.0,-182.0,-91.0,559
63.0,-203.0,-98.0,560
56.0,-224.0,-119.0,561
42.0,-217.0,-105.0,562
56.0,-231.0,-105.0,563
49.0,-203.0,-91.0,564
63.0,-196.0,-84.0,565
77.0,-189.0,-77.0,566
77.0,-175.0,-77.0,567
77.0,-168.0,-77.0,568
84.0,-168.0,-70.0,569
84.0,-175.0,-70.0,570
98.0,-161.0,-70.0,571
98.0,-147.0,-63.0,572
112.0,-140.0,-70.0,573
98.0,-133.0,-77.0,574
77.0,-147.0,-91.0,575
49.0,-154.0,-98.0,576
35.0,-168.0,-112.0,577
21.0,-161.0,-112.0,578
7.0,-161.0,-105.0,579
-28.0,-147.0,-91.0,580
-49.0,-147.0,-84.0,581
-63.0,-133.0,-84.0,582
-56.0,-154.0,-84.0,583
-56.0,-154.0,-98.0,584
-35.0,-168.0,-119.0,585
-21.0,-168.0,-133.0,586
7.0,-175.0,-168.0,587
21.0,-182.0,-196.0,588
56.0,-196.0,-217.0,589
84.0,-224.0,-217.0,590
105.0,-287.0,-210.0,591
84.0,-315.0,-196.0,592
70.0,-364.0,-182.0,593
112.0,-371.0,-161.0,594
259.0,-364.0,-105.0,595
280.0,-385.0,-56.0,596
238.0,-308.0,-77.0,597
273.0,-126.0,-112.0,598
273.0,-63.0,-35.0,599
217.0,21.0,91.0,600
182.0,105.0,105.0,601
182.0,224.0,49.0,602
84.0,252.0,49.0,603
