X,Y,Z,NewNodetime,Time(s),Label
91.0,-182.0,0.0,331,1.655,None
91.0,-175.0,0.0,332,1.66,None
84.0,-196.0,0.0,333,1.665,None
91.0,-224.0,0.0,334,1.67,None
91.0,-245.0,-14.0,335,1.675,None
91.0,-245.0,-14.0,336,1.68,None
98.0,-238.0,-21.0,337,1.685,None
98.0,-238.0,-21.0,338,1.69,None
98.0,-252.0,-21.0,339,1.695,None
91.0,-266.0,-21.0,340,1.7,None
105.0,-287.0,-35.0,341,1.705,None
91.0,-259.0,-35.0,342,1.71,None
105.0,-266.0,-42.0,343,1.715,None
105.0,-273.0,-42.0,344,1.72,None
119.0,-280.0,-42.0,345,1.725,None
126.0,-259.0,-49.0,346,1.73,None
140.0,-217.0,-56.0,347,1.735,None
147.0,-175.0,-56.0,348,1.74,None
161.0,-168.0,-56.0,349,1.745,None
154.0,-182.0,-63.0,350,1.75,None
168.0,-224.0,-84.0,351,1.755,None
147.0,-196.0,-91.0,352,1.76,None
154.0,-189.0,-98.0,353,1.765,None
147.0,-189.0,-98.0,354,1.77,None
140.0,-196.0,-105.0,355,1.775,None
119.0,-210.0,-105.0,356,1.78,None
105.0,-231.0,-112.0,357,1.785,None
98.0,-224.0,-105.0,358,1.79,None
91.0,-224.0,-105.0,359,1.795,None
91.0,-217.0,-98.0,360,1.8,None
112.0,-231.0,-105.0,361,1.805,None
91.0,-182.0,-98.0,362,1.81,None
91.0,-189.0,-98.0,363,1.815,None
98.0,-210.0,-91.0,364,1.82,None
91.0,-238.0,-77.0,365,1.825,None
91.0,-280.0,-70.0,366,1.83,None
112.0,-280.0,-84.0,367,1.835,None
126.0,-287.0,-91.0,368,1.84,None
140.0,-308.0,-105.0,369,1.845,None
147.0,-301.0,-105.0,370,1.85,None
161.0,-287.0,-112.0,371,1.855,None
168.0,-245.0,-98.0,372,1.86,None
182.0,-231.0,-105.0,373,1.865,None
182.0,-224.0,-98.0,374,1.87,None
196.0,-189.0,-105.0,375,1.875,None
203.0,-154.0,-105.0,376,1.88,None
210.0,-154.0,-105.0,377,1.885,None
210.0,-189.0,-105.0,378,1.89,None
203.0,-231.0,-112.0,379,1.895,None
196.0,-231.0,-112.0,380,1.9,None
203.0,-224.0,-112.0,381,1.905,None
189.0,-182.0,-98.0,382,1.91,None
196.0,-189.0,-98.0,383,1.915,None
196.0,-189.0,-112.0,384,1.92,None
196.0,-189.0,-126.0,385,1.925,None
196.0,-168.0,-140.0,386,1.93,None
189.0,-161.0,-140.0,387,1.935,None
182.0,-168.0,-147.0,388,1.94,None
168.0,-175.0,-147.0,389,1.945,None
168.0,-175.0,-147.0,390,1.95,None
175.0,-189.0,-147.0,391,1.955,None
147.0,-168.0,-133.0,392,1.96,None
140.0,-203.0,-126.0,393,1.965,None
133.0,-224.0,-126.0,394,1.97,None
133.0,-210.0,-126.0,395,1.975,None
140.0,-189.0,-133.0,396,1.98,None
154.0,-203.0,-119.0,397,1.985,None
154.0,-210.0,-119.0,398,1.99,None
161.0,-210.0,-112.0,399,1.995,None
175.0,-203.0,-119.0,400,2.0,None
189.0,-224.0,-126.0,401,2.005,None
196.0,-217.0,-126.0,402,2.01,None
217.0,-224.0,-119.0,403,2.015,None
231.0,-203.0,-126.0,404,2.02,None
238.0,-196.0,-133.0,405,2.025,None
252.0,-175.0,-126.0,406,2.03,None
259.0,-161.0,-140.0,407,2.035,None
259.0,-154.0,-140.0,408,2.04,None
259.0,-147.0,-140.0,409,2.045,None
266.0,-140.0,-140.0,410,2.05,None
287.0,-154.0,-147.0,411,2.055,None
266.0,-133.0,-147.0,412,2.06,None
259.0,-147.0,-126.0,413,2.065,None
245.0,-147.0,-119.0,414,2.07,None
238.0,-147.0,-112.0,415,2.075,None
217.0,-140.0,-112.0,416,2.08,None
203.0,-147.0,-105.0,417,2.085,None
189.0,-154.0,-105.0,418,2.09,None
182.0,-147.0,-119.0,419,2.095,None
182.0,-126.0,-112.0,420,2.1,None
168.0,-140.0,-119.0,421,2.105,None
147.0,-112.0,-133.0,422,2.11,None
147.0,-98.0,-133.0,423,2.115,None
147.0,-84.0,-112.0,424,2.12,None
140.0,-77.0,-119.0,425,2.125,None
98.0,-161.0,-196.0,426,2.13,None
112.0,-63.0,-168.0,427,2.135,None
224.0,133.0,0.0,428,2.14,None
273.0,189.0,14.0,429,2.145,None
294.0,252.0,-98.0,430,2.15,None
329.0,280.0,-161.0,431,2.155,None
350.0,301.0,-77.0,432,2.16,None
378.0,231.0,0.0,433,2.165,None
385.0,203.0,-98.0,434,2.17,None
364.0,252.0,-196.0,435,2.175,None
357.0,343.0,-147.0,436,2.18,None
350.0,455.0,-21.0,437,2.185,None
357.0,455.0,28.0,438,2.19,None
371.0,427.0,0.0,439,2.195,None
406.0,406.0,-63.0,440,2.2,None
448.0,378.0,-133.0,441,2.205,None
469.0,448.0,-126.0,442,2.21,None
518.0,476.0,-105.0,443,2.215,None
532.0,490.0,-147.0,444,2.22,None
518.0,560.0,-161.0,445,2.225,None
483.0,651.0,-77.0,446,2.23,None
441.0,672.0,21.0,447,2.235,None
385.0,574.0,49.0,448,2.24,None
364.0,448.0,42.0,449,2.245,None
385.0,385.0,7.0,450,2.25,None
399.0,469.0,-28.0,451,2.255,None
385.0,742.0,7.0,452,2.26,None
392.0,854.0,98.0,453,2.265,None
399.0,756.0,119.0,454,2.27,None
392.0,588.0,49.0,455,2.275,None
378.0,413.0,-49.0,456,2.28,None
371.0,196.0,-119.0,457,2.285,None
385.0,-14.0,-91.0,458,2.29,None
322.0,-56.0,0.0,459,2.295,None
280.0,217.0,-56.0,460,2.3,None
329.0,504.0,-154.0,461,2.305,None
315.0,504.0,-56.0,462,2.31,None
252.0,119.0,84.0,463,2.315,None
182.0,-322.0,7.0,464,2.32,None
154.0,-630.0,-175.0,465,2.325,None
140.0,-609.0,-182.0,466,2.33,None
126.0,-329.0,-63.0,467,2.335,None
112.0,-105.0,-14.0,468,2.34,None
91.0,-105.0,-35.0,469,2.345,None
63.0,-231.0,-98.0,470,2.35,None
63.0,-378.0,-154.0,471,2.355,None
28.0,-413.0,-147.0,472,2.36,None
28.0,-413.0,-140.0,473,2.365,None
49.0,-364.0,-161.0,474,2.37,None
77.0,-343.0,-168.0,475,2.375,None
77.0,-385.0,-182.0,476,2.38,None
70.0,-469.0,-196.0,477,2.385,None
56.0,-595.0,-203.0,478,2.39,None
35.0,-679.0,-217.0,479,2.395,None
21.0,-658.0,-224.0,480,2.4,None
35.0,-602.0,-217.0,481,2.405,None
14.0,-560.0,-203.0,482,2.41,None
21.0,-588.0,-210.0,483,2.415,None
28.0,-644.0,-224.0,484,2.42,None
21.0,-644.0,-231.0,485,2.425,None
35.0,-602.0,-217.0,486,2.43,None
49.0,-574.0,-182.0,487,2.435,None
70.0,-546.0,-182.0,488,2.44,None
98.0,-518.0,-196.0,489,2.445,None
105.0,-532.0,-217.0,490,2.45,None
105.0,-553.0,-245.0,491,2.455,None
77.0,-532.0,-217.0,492,2.46,None
70.0,-567.0,-182.0,493,2.465,None
56.0,-602.0,-168.0,494,2.47,None
70.0,-609.0,-182.0,495,2.475,None
91.0,-588.0,-196.0,496,2.48,None
112.0,-567.0,-210.0,497,2.485,None
133.0,-532.0,-210.0,498,2.49,None
147.0,-532.0,-196.0,499,2.495,None
147.0,-539.0,-189.0,500,2.5,None
175.0,-532.0,-182.0,501,2.505,None
168.0,-483.0,-161.0,502,2.51,None
182.0,-476.0,-168.0,503,2.515,None
189.0,-441.0,-168.0,504,2.52,None
196.0,-434.0,-168.0,505,2.525,None
182.0,-413.0,-140.0,506,2.53,None
168.0,-406.0,-105.0,507,2.535,None
175.0,-413.0,-91.0,508,2.54,None
182.0,-392.0,-84.0,509,2.545,None
182.0,-385.0,-84.0,510,2.55,None
175.0,-371.0,-98.0,511,2.555,None
154.0,-357.0,-98.0,512,2.56,None
119.0,-378.0,-84.0,513,2.565,None
84.0,-378.0,-84.0,514,2.57,None
91.0,-406.0,-84.0,515,2.575,None
77.0,-413.0,-91.0,516,2.58,None
63.0,-406.0,-91.0,517,2.585,None
63.0,-413.0,-98.0,518,2.59,None
70.0,-427.0,-105.0,519,2.595,None
77.0,-420.0,-126.0,520,2.6,None
98.0,-406.0,-147.0,521,2.605,None
98.0,-343.0,-154.0,522,2.61,None
91.0,-315.0,-140.0,523,2.615,None
98.0,-301.0,-147.0,524,2.62,None
98.0,-294.0,-133.0,525,2.625,None
84.0,-280.0,-126.0,526,2.63,None
91.0,-287.0,-119.0,527,2.635,None
112.0,-308.0,-112.0,528,2.64,None
147.0,-329.0,-119.0,529,2.645,None
189.0,-329.0,-140.0,530,2.65,None
238.0,-350.0,-168.0,531,2.655,None
238.0,-322.0,-182.0,532,2.66,None
231.0,-322.0,-175.0,533,2.665,None
210.0,-315.0,-154.0,534,2.67,None
182.0,-280.0,-126.0,535,2.675,None
161.0,-266.0,-112.0,536,2.68,None
154.0,-252.0,-105.0,537,2.685,None
154.0,-259.0,-98.0,538,2.69,None
154.0,-252.0,-105.0,539,2.695,None
161.0,-245.0,-119.0,540,2.7,None
189.0,-266.0,-126.0,541,2.705,None
175.0,-252.0,-112.0,542,2.71,None
175.0,-238.0,-98.0,543,2.715,None
175.0,-231.0,-98.0,544,2.72,None
175.0,-238.0,-105.0,545,2.725,None
175.0,-245.0,-126.0,546,2.73,None
168.0,-238.0,-140.0,547,2.735,None
154.0,-224.0,-147.0,548,2.74,None
140.0,-210.0,-140.0,549,2.745,None
119.0,-210.0,-126.0,550,2.75,None
105.0,-224.0,-133.0,551,2.755,None
77.0,-231.0,-133.0,552,2.76,None
70.0,-273.0,-119.0,553,2.765,None
56.0,-266.0,-105.0,554,2.77,None
56.0,-259.0,-91.0,555,2.775,None
49.0,-266.0,-77.0,556,2.78,None
49.0,-315.0,-77.0,557,2.785,None
42.0,-385.0,-91.0,558,2.79,None
49.0,-413.0,-91.0,559,2.795,None
56.0,-385.0,-91.0,560,2.8,None
91.0,-371.0,-98.0,561,2.805,None
