X,Y,Z,NewNodetime
91.0,-182.0,0.0,331
91.0,-175.0,0.0,332
84.0,-196.0,0.0,333
91.0,-224.0,0.0,334
91.0,-245.0,-14.0,335
91.0,-245.0,-14.0,336
98.0,-238.0,-21.0,337
98.0,-238.0,-21.0,338
98.0,-252.0,-21.0,339
91.0,-266.0,-21.0,340
105.0,-287.0,-35.0,341
91.0,-259.0,-35.0,342
105.0,-266.0,-42.0,343
105.0,-273.0,-42.0,344
119.0,-280.0,-42.0,345
126.0,-259.0,-49.0,346
140.0,-217.0,-56.0,347
147.0,-175.0,-56.0,348
161.0,-168.0,-56.0,349
154.0,-182.0,-63.0,350
168.0,-224.0,-84.0,351
147.0,-196.0,-91.0,352
154.0,-189.0,-98.0,353
147.0,-189.0,-98.0,354
140.0,-196.0,-105.0,355
119.0,-210.0,-105.0,356
105.0,-231.0,-112.0,357
98.0,-224.0,-105.0,358
91.0,-224.0,-105.0,359
91.0,-217.0,-98.0,360
112.0,-231.0,-105.0,361
91.0,-182.0,-98.0,362
91.0,-189.0,-98.0,363
98.0,-210.0,-91.0,364
91.0,-238.0,-77.0,365
91.0,-280.0,-70.0,366
112.0,-280.0,-84.0,367
126.0,-287.0,-91.0,368
140.0,-308.0,-105.0,369
147.0,-301.0,-105.0,370
161.0,-287.0,-112.0,371
168.0,-245.0,-98.0,372
182.0,-231.0,-105.0,373
182.0,-224.0,-98.0,374
196.0,-189.0,-105.0,375
203.0,-154.0,-105.0,376
210.0,-154.0,-105.0,377
210.0,-189.0,-105.0,378
203.0,-231.0,-112.0,379
196.0,-231.0,-112.0,380
203.0,-224.0,-112.0,381
189.0,-182.0,-98.0,382
196.0,-189.0,-98.0,383
196.0,-189.0,-112.0,384
196.0,-189.0,-126.0,385
196.0,-168.0,-140.0,386
189.0,-161.0,-140.0,387
182.0,-168.0,-147.0,388
168.0,-175.0,-147.0,389
168.0,-175.0,-147.0,390
175.0,-189.0,-147.0,391
147.0,-168.0,-133.0,392
140.0,-203.0,-126.0,393
133.0,-224.0,-126.0,394
133.0,-210.0,-126.0,395
140.0,-189.0,-133.0,396
154.0,-203.0,-119.0,397
154.0,-210.0,-119.0,398
161.0,-210.0,-112.0,399
