X,Y,Z,NewNodetime
252.0,168.0,-259.0,5926
245.0,98.0,-280.0,5927
224.0,35.0,-294.0,5928
210.0,-21.0,-259.0,5929
175.0,-63.0,-196.0,5930
147.0,-84.0,-154.0,5931
119.0,-133.0,-119.0,5932
105.0,-224.0,-112.0,5933
91.0,-308.0,-105.0,5934
84.0,-350.0,-70.0,5935
84.0,-392.0,-49.0,5936
56.0,-371.0,-21.0,5937
56.0,-378.0,-14.0,5938
70.0,-413.0,-21.0,5939
84.0,-469.0,-28.0,5940
70.0,-490.0,-21.0,5941
70.0,-462.0,0.0,5942
77.0,-427.0,28.0,5943
84.0,-406.0,42.0,5944
98.0,-392.0,28.0,5945
112.0,-385.0,7.0,5946
126.0,-364.0,-7.0,5947
133.0,-357.0,-28.0,5948
119.0,-343.0,-28.0,5949
98.0,-336.0,-28.0,5950
84.0,-350.0,-35.0,5951
77.0,-371.0,-35.0,5952
77.0,-371.0,-28.0,5953
77.0,-364.0,-42.0,5954
91.0,-364.0,-56.0,5955
112.0,-357.0,-63.0,5956
119.0,-308.0,-70.0,5957
140.0,-301.0,-84.0,5958
133.0,-266.0,-98.0,5959
119.0,-238.0,-98.0,5960
112.0,-217.0,-112.0,5961
112.0,-182.0,-119.0,5962
112.0,-147.0,-133.0,5963
126.0,-105.0,-126.0,5964
133.0,-70.0,-112.0,5965
175.0,-63.0,-126.0,5966
175.0,-28.0,-133.0,5967
182.0,-21.0,-147.0,5968
189.0,0.0,-161.0,5969
189.0,21.0,-154.0,5970
196.0,28.0,-140.0,5971
189.0,56.0,-133.0,5972
189.0,63.0,-147.0,5973
182.0,42.0,-161.0,5974
189.0,21.0,-182.0,5975
196.0,-14.0,-182.0,5976
168.0,-21.0,-175.0,5977
154.0,-70.0,-175.0,5978
154.0,-112.0,-168.0,5979
140.0,-154.0,-161.0,5980
133.0,-189.0,-147.0,5981
126.0,-210.0,-119.0,5982
126.0,-224.0,-84.0,5983
126.0,-245.0,-56.0,5984
133.0,-273.0,-42.0,5985
147.0,-322.0,-42.0,5986
126.0,-301.0,-42.0,5987
133.0,-308.0,-49.0,5988
133.0,-301.0,-42.0,5989
133.0,-294.0,-56.0,5990
133.0,-280.0,-77.0,5991
133.0,-252.0,-98.0,5992
147.0,-224.0,-119.0,5993
140.0,-203.0,-147.0,5994
140.0,-189.0,-168.0,5995
154.0,-189.0,-175.0,5996
140.0,-147.0,-147.0,5997
147.0,-140.0,-126.0,5998
154.0,-140.0,-112.0,5999
154.0,-126.0,-105.0,6000
168.0,-112.0,-105.0,6001
168.0,-119.0,-112.0,6002
161.0,-126.0,-126.0,6003
147.0,-119.0,-119.0,6004
133.0,-112.0,-112.0,6005
133.0,-140.0,-112.0,6006
112.0,-140.0,-98.0,6007
105.0,-189.0,-98.0,6008
98.0,-217.0,-105.0,6009
112.0,-245.0,-112.0,6010
98.0,-224.0,-98.0,6011
98.0,-224.0,-98.0,6012
105.0,-231.0,-91.0,6013
105.0,-217.0,-98.0,6014
119.0,-210.0,-98.0,6015
154.0,-231.0,-91.0,6016
161.0,-189.0,-56.0,6017
168.0,-182.0,-49.0,6018
161.0,-168.0,-56.0,6019
168.0,-168.0,-84.0,6020
161.0,-168.0,-105.0,6021
154.0,-154.0,-112.0,6022
147.0,-161.0,-112.0,6023
140.0,-147.0,-105.0,6024
140.0,-154.0,-98.0,6025
147.0,-175.0,-112.0,6026
140.0,-182.0,-126.0,6027
154.0,-210.0,-119.0,6028
154.0,-217.0,-105.0,6029
147.0,-224.0,-98.0,6030
140.0,-245.0,-112.0,6031
133.0,-259.0,-119.0,6032
147.0,-238.0,-126.0,6033
140.0,-203.0,-126.0,6034
140.0,-182.0,-112.0,6035
161.0,-203.0,-112.0,6036
147.0,-168.0,-112.0,6037
154.0,-189.0,-112.0,6038
168.0,-161.0,-119.0,6039
168.0,-119.0,-140.0,6040
182.0,-77.0,-168.0,6041
189.0,-49.0,-224.0,6042
217.0,-28.0,-252.0,6043
224.0,0.0,-245.0,6044
231.0,7.0,-231.0,6045
224.0,-35.0,-231.0,6046
189.0,-28.0,-224.0,6047
182.0,-70.0,-210.0,6048
175.0,-98.0,-189.0,6049
189.0,-140.0,-161.0,6050
182.0,-175.0,-133.0,6051
189.0,-217.0,-112.0,6052
203.0,-266.0,-112.0,6053
189.0,-280.0,-91.0,6054
161.0,-287.0,-77.0,6055
140.0,-322.0,-63.0,6056
105.0,-336.0,-56.0,6057
84.0,-371.0,-42.0,6058
56.0,-371.0,-14.0,6059
49.0,-371.0,-14.0,6060
42.0,-343.0,-7.0,6061
42.0,-329.0,-21.0,6062
49.0,-336.0,-49.0,6063
63.0,-350.0,-77.0,6064
77.0,-364.0,-77.0,6065
91.0,-399.0,-77.0,6066
77.0,-378.0,-42.0,6067
70.0,-357.0,-28.0,6068
70.0,-315.0,-14.0,6069
70.0,-287.0,-28.0,6070
98.0,-294.0,-49.0,6071
126.0,-294.0,-77.0,6072
147.0,-280.0,-112.0,6073
175.0,-245.0,-147.0,6074
196.0,-196.0,-161.0,6075
210.0,-147.0,-168.0,6076
189.0,-56.0,-161.0,6077
175.0,0.0,-161.0,6078
161.0,63.0,-154.0,6079
147.0,84.0,-147.0,6080
154.0,42.0,-154.0,6081
161.0,-35.0,-168.0,6082
168.0,-112.0,-161.0,6083
161.0,-175.0,-140.0,6084
133.0,-210.0,-105.0,6085
133.0,-266.0,-105.0,6086
98.0,-273.0,-119.0,6087
84.0,-259.0,-119.0,6088
84.0,-245.0,-119.0,6089
91.0,-238.0,-126.0,6090
105.0,-224.0,-119.0,6091
133.0,-238.0,-119.0,6092
154.0,-245.0,-140.0,6093
168.0,-245.0,-133.0,6094
168.0,-231.0,-112.0,6095
175.0,-231.0,-119.0,6096
161.0,-203.0,-112.0,6097
161.0,-210.0,-112.0,6098
154.0,-210.0,-119.0,6099
154.0,-224.0,-119.0,6100
175.0,-266.0,-119.0,6101
168.0,-280.0,-105.0,6102
161.0,-315.0,-91.0,6103
168.0,-322.0,-84.0,6104
175.0,-329.0,-84.0,6105
203.0,-336.0,-98.0,6106
189.0,-259.0,-84.0,6107
196.0,-224.0,-98.0,6108
203.0,-182.0,-126.0,6109
196.0,-154.0,-161.0,6110
210.0,-147.0,-161.0,6111
203.0,-140.0,-147.0,6112
210.0,-133.0,-140.0,6113
231.0,-133.0,-119.0,6114
231.0,-133.0,-105.0,6115
245.0,-168.0,-126.0,6116
231.0,-161.0,-147.0,6117
224.0,-154.0,-154.0,6118
210.0,-140.0,-133.0,6119
189.0,-154.0,-119.0,6120
182.0,-161.0,-105.0,6121
168.0,-189.0,-98.0,6122
154.0,-231.0,-98.0,6123
161.0,-273.0,-98.0,6124
147.0,-308.0,-91.0,6125
147.0,-357.0,-77.0,6126
126.0,-357.0,-49.0,6127
126.0,-371.0,-42.0,6128
133.0,-385.0,-56.0,6129
119.0,-378.0,-63.0,6130
119.0,-385.0,-70.0,6131
112.0,-371.0,-70.0,6132
112.0,-357.0,-56.0,6133
126.0,-343.0,-42.0,6134
133.0,-329.0,-28.0,6135
140.0,-315.0,-42.0,6136
147.0,-273.0,-77.0,6137
175.0,-273.0,-112.0,6138
203.0,-287.0,-126.0,6139
161.0,-238.0,-112.0,6140
147.0,-126.0,-28.0,6141
154.0,-126.0,-77.0,6142
175.0,-294.0,-203.0,6143
175.0,-322.0,-189.0,6144
133.0,-203.0,-91.0,6145
126.0,-203.0,-49.0,6146
98.0,-231.0,-63.0,6147
70.0,-252.0,-77.0,6148
63.0,-280.0,-49.0,6149
56.0,-322.0,-28.0,6150
49.0,-350.0,-7.0,6151
35.0,-371.0,-14.0,6152
35.0,-399.0,-35.0,6153
21.0,-434.0,-42.0,6154
14.0,-434.0,-14.0,6155
21.0,-441.0,14.0,6156
21.0,-427.0,21.0,6157
35.0,-406.0,0.0,6158
49.0,-385.0,-28.0,6159
77.0,-371.0,-63.0,6160
105.0,-357.0,-70.0,6161
126.0,-336.0,-84.0,6162
133.0,-336.0,-91.0,6163
133.0,-315.0,-77.0,6164
147.0,-301.0,-77.0,6165
154.0,-280.0,-91.0,6166
140.0,-252.0,-98.0,6167
161.0,-259.0,-105.0,6168
140.0,-217.0,-105.0,6169
126.0,-210.0,-133.0,6170
133.0,-203.0,-154.0,6171
133.0,-182.0,-161.0,6172
126.0,-168.0,-119.0,6173
119.0,-154.0,-70.0,6174
98.0,-133.0,-28.0,6175
91.0,-119.0,0.0,6176
56.0,-70.0,7.0,6177
49.0,-105.0,0.0,6178
21.0,-147.0,-7.0,6179
-14.0,-182.0,-28.0,6180
-35.0,-238.0,-42.0,6181
-63.0,-343.0,-56.0,6182
-112.0,-427.0,-77.0,6183
-133.0,-448.0,-56.0,6184
-203.0,-462.0,-49.0,6185
-266.0,-490.0,0.0,6186
-280.0,-616.0,56.0,6187
-252.0,-714.0,28.0,6188
-259.0,-756.0,7.0,6189
-266.0,-812.0,49.0,6190
-280.0,-833.0,70.0,6191
-287.0,-763.0,42.0,6192
-301.0,-735.0,21.0,6193
-287.0,-805.0,-28.0,6194
-294.0,-826.0,-56.0,6195
-301.0,-819.0,-21.0,6196
-343.0,-819.0,98.0,6197
-301.0,-931.0,147.0,6198
-308.0,-994.0,147.0,6199
-329.0,-1064.0,168.0,6200
-371.0,-1092.0,224.0,6201
-455.0,-1050.0,308.0,6202
-525.0,-1071.0,385.0,6203
-616.0,-1127.0,434.0,6204
-721.0,-1232.0,532.0,6205
-791.0,-1421.0,679.0,6206
-819.0,-1582.0,763.0,6207
-833.0,-1694.0,749.0,6208
-868.0,-1757.0,784.0,6209
-896.0,-1911.0,882.0,6210
-861.0,-2135.0,903.0,6211
-798.0,-2240.0,882.0,6212
-777.0,-2282.0,868.0,6213
-791.0,-2366.0,854.0,6214
-819.0,-2450.0,854.0,6215
-847.0,-2506.0,840.0,6216
-875.0,-2534.0,791.0,6217
-910.0,-2527.0,756.0,6218
-924.0,-2513.0,735.0,6219
-931.0,-2513.0,728.0,6220
-924.0,-2548.0,728.0,6221
-910.0,-2569.0,707.0,6222
-910.0,-2569.0,672.0,6223
-896.0,-2555.0,644.0,6224
-889.0,-2478.0,630.0,6225
-854.0,-2415.0,623.0,6226
-840.0,-2296.0,609.0,6227
-812.0,-2198.0,574.0,6228
-791.0,-2107.0,532.0,6229
-763.0,-2023.0,483.0,6230
-742.0,-1932.0,441.0,6231
-728.0,-1841.0,420.0,6232
-714.0,-1736.0,420.0,6233
-707.0,-1624.0,420.0,6234
-700.0,-1498.0,420.0,6235
-672.0,-1407.0,399.0,6236
-658.0,-1295.0,378.0,6237
-637.0,-1211.0,357.0,6238
-609.0,-1127.0,336.0,6239
-574.0,-1071.0,315.0,6240
-532.0,-1001.0,280.0,6241
-511.0,-924.0,252.0,6242
-518.0,-833.0,217.0,6243
-504.0,-763.0,189.0,6244
-483.0,-707.0,161.0,6245
-448.0,-665.0,112.0,6246
-455.0,-560.0,84.0,6247
-420.0,-504.0,42.0,6248
-406.0,-441.0,14.0,6249
-378.0,-385.0,-14.0,6250
-357.0,-329.0,-14.0,6251
-329.0,-280.0,-28.0,6252
-294.0,-266.0,-42.0,6253
-266.0,-245.0,-56.0,6254
-245.0,-210.0,-42.0,6255
-210.0,-203.0,-42.0,6256
-217.0,-189.0,-63.0,6257
-210.0,-252.0,-91.0,6258
-203.0,-315.0,-91.0,6259
-210.0,-385.0,-77.0,6260
-217.0,-469.0,-56.0,6261
-217.0,-546.0,-14.0,6262
-224.0,-602.0,21.0,6263
-224.0,-658.0,42.0,6264
-231.0,-742.0,56.0,6265
-224.0,-840.0,49.0,6266
-238.0,-903.0,84.0,6267
-245.0,-980.0,112.0,6268
-259.0,-1043.0,140.0,6269
-273.0,-1099.0,161.0,6270
-294.0,-1141.0,196.0,6271
-308.0,-1176.0,245.0,6272
-322.0,-1197.0,273.0,6273
-336.0,-1218.0,301.0,6274
-371.0,-1232.0,308.0,6275
-385.0,-1239.0,329.0,6276
-441.0,-1190.0,343.0,6277
-469.0,-1169.0,357.0,6278
-504.0,-1155.0,378.0,6279
-518.0,-1169.0,385.0,6280
-539.0,-1155.0,392.0,6281
-567.0,-1120.0,399.0,6282
-581.0,-1099.0,392.0,6283
-581.0,-1092.0,371.0,6284
-581.0,-1078.0,343.0,6285
-553.0,-1071.0,294.0,6286
-539.0,-1029.0,266.0,6287
-511.0,-1029.0,238.0,6288
-483.0,-966.0,217.0,6289
-455.0,-889.0,203.0,6290
-406.0,-840.0,175.0,6291
-364.0,-819.0,147.0,6292
-315.0,-784.0,126.0,6293
-280.0,-749.0,98.0,6294
-238.0,-714.0,77.0,6295
-210.0,-686.0,56.0,6296
-217.0,-616.0,70.0,6297
-196.0,-588.0,63.0,6298
-196.0,-546.0,56.0,6299
-189.0,-553.0,56.0,6300
-196.0,-553.0,70.0,6301
-203.0,-553.0,84.0,6302
-210.0,-567.0,105.0,6303
-210.0,-581.0,112.0,6304
-203.0,-581.0,119.0,6305
-210.0,-616.0,119.0,6306
-196.0,-637.0,126.0,6307
-189.0,-658.0,105.0,6308
-189.0,-651.0,98.0,6309
-196.0,-637.0,98.0,6310
-175.0,-637.0,77.0,6311
-168.0,-630.0,56.0,6312
-154.0,-630.0,56.0,6313
-140.0,-623.0,63.0,6314
-119.0,-616.0,70.0,6315
-112.0,-623.0,70.0,6316
-126.0,-595.0,77.0,6317
-126.0,-588.0,77.0,6318
-140.0,-560.0,84.0,6319
-154.0,-532.0,70.0,6320
-168.0,-504.0,77.0,6321
-196.0,-462.0,91.0,6322
-217.0,-441.0,105.0,6323
-231.0,-420.0,105.0,6324
-231.0,-413.0,98.0,6325
-210.0,-413.0,98.0,6326
-210.0,-392.0,91.0,6327
-161.0,-427.0,63.0,6328
-119.0,-441.0,49.0,6329
-91.0,-427.0,70.0,6330
-56.0,-413.0,105.0,6331
-21.0,-399.0,112.0,6332
14.0,-343.0,98.0,6333
42.0,-287.0,98.0,6334
84.0,-238.0,84.0,6335
112.0,-189.0,56.0,6336
112.0,-91.0,28.0,6337
147.0,-7.0,0.0,6338
182.0,70.0,-14.0,6339
224.0,84.0,-28.0,6340
301.0,91.0,-21.0,6341
399.0,98.0,-14.0,6342
504.0,147.0,-14.0,6343
609.0,224.0,-14.0,6344
693.0,273.0,28.0,6345
