X,Y,Z,NewNodetime
-1526.0,-684.4,-1043.0,871
-1267.0,-1097.4,-742.0,872
-1008.0,-1503.4,-581.0,873
-805.0,-1874.4,-532.0,874
-707.0,-2301.4,-567.0,875
-742.0,-2693.4,-742.0,876
-777.0,-2973.4,-1008.0,877
-812.0,-3106.4,-1288.0,878
-917.0,-3064.4,-1547.0,879
-1099.0,-2847.4,-1743.0,880
-1309.0,-2539.4,-1834.0,881
-1526.0,-2210.4,-1827.0,882
-1652.0,-1881.4,-1750.0,883
-1799.0,-1503.4,-1554.0,884
-2065.0,-1104.4,-1288.0,885
-2401.0,-747.4,-1043.0,886
-2828.0,-439.4,-791.0,887
-3255.0,-222.4,-532.0,888
2948.6,-61.4,-301.0,889
2626.6,99.6,-126.0,890
2297.6,323.6,70.0,891
1786.6,575.6,343.0,892
1226.6,652.6,546.0,893
736.6,659.6,679.0,894
379.6,589.6,749.0,895
183.6,498.6,749.0,896
71.6,463.6,742.0,897
43.6,491.6,679.0,898
64.6,596.6,504.0,899
155.6,743.6,252.0,900
281.6,876.6,7.0,901
505.6,1114.6,-196.0,902
799.6,1443.6,-413.0,903
1072.6,1877.6,-616.0,904
1331.6,2241.6,-784.0,905
1506.6,2668.6,-931.0,906
1583.6,3186.6,-1099.0,907
1625.6,-2828.0,-1211.0,908
1667.6,-2744.0,-1113.0,909
1891.6,-3031.0,-791.0,910
2220.6,-3269.0,-448.0,911
2423.6,3242.6,-161.0,912
2402.6,3151.6,35.0,913
2150.6,2731.6,224.0,914
1800.6,2213.6,406.0,915
1310.6,1618.6,609.0,916
708.6,1079.6,798.0,917
-68.4,708.6,1001.0,918
-1013.4,540.6,1176.0,919
-2098.4,554.6,1274.0,920
-3253.4,610.6,1316.0,921
2327.2,603.6,1323.0,922
1487.2,99.6,1281.0,923
773.2,-887.4,1197.0,924
108.2,-1790.4,987.0,925
-367.8,-2686.4,714.0,926
-710.8,2929.2,441.0,927
-1053.8,1886.2,154.0,928
-997.8,801.2,-175.0,929
-535.8,-199.8,-406.0,930
150.2,-976.8,-532.0,931
822.2,-1319.8,-672.0,932
1522.2,-1480.8,-1001.0,933
2341.2,-1655.8,-1519.0,934
-3260.4,-1823.8,-2023.0,935
-2203.4,-1802.8,-2359.0,936
-1132.4,-1410.8,-2492.0,937
-418.4,-668.8,-2478.0,938
218.6,367.2,-2359.0,939
652.6,1466.2,-2317.0,940
932.6,2173.2,-2289.0,941
981.6,2572.2,-2079.0,942
862.6,2971.2,-1701.0,943
617.6,-3183.4,-1246.0,944
302.6,-2903.4,-861.0,945
1.6,-2910.4,-609.0,946
-411.4,-3050.4,-532.0,947
-992.4,-3127.4,-630.0,948
-1566.4,-3148.4,-833.0,949
-1944.4,-3190.4,-1141.0,950
-2063.4,3090.2,-1498.0,951
-2056.4,2684.2,-1806.0,952
-1804.4,1998.2,-2023.0,953
-1475.4,1298.2,-2345.0,954
-936.4,654.2,-2758.0,955
-110.4,38.2,-3052.0,956
792.6,-626.8,-3178.0,957
1688.6,-1347.8,-3241.0,958
2507.6,-1872.8,-3213.0,959
3137.6,-2334.8,-3080.0,960
-2968.0,-3027.8,-2891.0,961
-2751.0,2762.8,-2660.0,962
-2611.0,1964.8,-2541.0,963
-2478.0,1082.8,-2450.0,964
-2471.0,459.8,-2317.0,965
-2779.0,396.8,-2121.0,966
-3094.0,543.8,-1967.0,967
3270.6,753.8,-1918.0,968
3235.6,1089.8,-1932.0,969
-3136.0,1397.8,-2016.0,970
-2758.0,1600.8,-2107.0,971
-2324.0,1642.8,-2121.0,972
-1813.0,1418.8,-2100.0,973
-1337.0,907.8,-2093.0,974
-931.0,263.8,-2093.0,975
-567.0,-422.2,-2156.0,976
-231.0,-1206.2,-2261.0,977
112.0,-2053.2,-2345.0,978
385.0,-2879.2,-2471.0,979
588.0,2974.4,-2541.0,980
742.0,2477.4,-2541.0,981
784.0,2274.4,-2520.0,982
868.0,2169.4,-2464.0,983
917.0,2120.4,-2352.0,984
854.0,2596.4,-2156.0,985
875.0,3149.4,-1918.0,986
658.0,-2718.2,-1799.0,987
49.0,-1213.2,-1652.0,988
-504.0,67.8,-1498.0,989
-1064.0,1376.8,-1358.0,990
-1533.0,2503.8,-1176.0,991
-1960.0,-3006.8,-1022.0,992
-2212.0,-2334.8,-945.0,993
-2226.0,-1900.8,-882.0,994
-1974.0,-1711.8,-693.0,995
-1785.0,-1025.8,-420.0,996
-1729.0,-164.8,-161.0,997
-1386.0,563.2,77.0,998
-980.0,1438.2,245.0,999
-511.0,1977.2,294.0,1000
28.0,2411.2,217.0,1001
399.0,3104.2,196.0,1002
959.0,-2924.4,329.0,1003
1400.0,-2343.4,469.0,1004
1666.0,-1776.4,546.0,1005
1897.0,-1258.4,665.0,1006
1995.0,-516.4,819.0,1007
2037.0,239.6,1015.0,1008
2100.0,1023.6,1323.0,1009
1834.0,1961.6,1715.0,1010
1428.0,2962.6,2079.0,1011
896.0,-2751.0,2359.0,1012
308.0,-2331.0,2548.0,1013
-126.0,-2205.0,2772.0,1014
-294.0,-2184.0,3017.0,1015
-273.0,-2289.0,3234.0,1016
-154.0,-2079.0,-3116.6,1017
-35.0,-1309.0,-2885.6,1018
-35.0,-196.0,-2598.6,1019
-140.0,1043.0,-2304.6,1020
-231.0,2275.0,-2017.6,1021
-490.0,-3186.6,-1758.6,1022
-861.0,-2668.6,-1450.6,1023
-1162.0,-2430.6,-1065.6,1024
-1477.0,-2157.6,-673.6,1025
-1967.0,-1772.6,-211.6,1026
-2352.0,-1289.6,145.4,1027
-2506.0,-1352.6,40.4,1028
-2646.0,-1800.6,-372.6,1029
-2730.0,-2010.6,-771.6,1030
-2562.0,-2318.6,-1072.6,1031
-2338.0,-2304.6,-1254.6,1032
-2093.0,-1702.6,-1401.6,1033
-1869.0,-827.6,-1527.6,1034
-1603.0,166.4,-1667.6,1035
-1407.0,1041.4,-1898.6,1036
-1197.0,1153.4,-2220.6,1037
-924.0,467.4,-2479.6,1038
-672.0,-260.6,-2703.6,1039
-448.0,-463.6,-3004.6,1040
-413.0,-575.6,3136.0,1041
-546.0,-750.6,2681.0,1042
-679.0,-666.6,2338.0,1043
-1078.0,-225.6,2142.0,1044
-1785.0,495.4,2121.0,1045
-2562.0,1216.4,2037.0,1046
-3227.0,1538.4,2037.0,1047
2871.6,1811.4,2205.0,1048
2486.6,1692.4,2408.0,1049
2185.6,1419.4,2597.0,1050
1870.6,1258.4,2625.0,1051
1667.6,1202.4,2527.0,1052
1632.6,1104.4,2345.0,1053
1751.6,1006.4,2100.0,1054
1989.6,859.4,1778.0,1055
2360.6,579.4,1449.0,1056
2780.6,243.4,1141.0,1057
3039.6,68.4,826.0,1058
-3241.0,-36.6,469.0,1059
-2912.0,-330.6,119.0,1060
-2541.0,-876.6,-126.0,1061
-2212.0,-1611.6,-217.0,1062
-1785.0,-2801.6,-140.0,1063
-1554.0,2646.0,7.0,1064
-1575.0,1953.0,49.0,1065
-1617.0,1344.0,-77.0,1066
-1736.0,763.0,-259.0,1067
-1946.0,280.0,-525.0,1068
-2142.0,-364.0,-833.0,1069
-2324.0,-1407.0,-1085.0,1070
-2499.0,-2632.0,-1232.0,1071
-2695.0,3039.6,-1400.0,1072
-2758.0,2304.6,-1624.0,1073
-2625.0,1520.6,-1855.0,1074
-2240.0,673.6,-2114.0,1075
-1645.0,-292.4,-2373.0,1076
-805.0,-1573.4,-2548.0,1077
49.0,-2728.4,-2681.0,1078
763.0,3097.2,-2856.0,1079
1414.0,2348.2,-3059.0,1080
1617.0,2173.2,-3227.0,1081
1505.0,2782.2,3018.6,1082
1386.0,-3197.4,2654.6,1083
1120.0,-2448.4,2311.6,1084
805.0,-1818.4,1982.6,1085
