X,Y,Z,NewNodetime,Time(s),Label
-879.0,273.0,428.0,26811,134.055,None
-882.0,274.0,425.0,26812,134.06,None
-886.0,274.0,422.0,26813,134.065,None
-887.0,276.0,421.0,26814,134.07,None
-885.0,275.0,419.0,26815,134.075,None
-884.0,277.0,418.0,26816,134.08,None
-883.0,277.0,419.0,26817,134.085,None
-885.0,278.0,419.0,26818,134.09,None
-885.0,279.0,416.0,26819,134.095,None
-886.0,279.0,416.0,26820,134.1,None
-883.0,277.0,417.0,26821,134.105,None
-881.0,279.0,420.0,26822,134.11,None
-883.0,278.0,421.0,26823,134.115,None
-884.0,279.0,419.0,26824,134.12,None
-882.0,278.0,420.0,26825,134.125,None
-879.0,277.0,422.0,26826,134.13,None
-879.0,276.0,423.0,26827,134.135,None
-881.0,277.0,426.0,26828,134.14,None
-879.0,277.0,421.0,26829,134.145,None
-885.0,275.0,421.0,26830,134.15,None
-885.0,277.0,424.0,26831,134.155,None
-880.0,275.0,426.0,26832,134.16,None
-879.0,278.0,426.0,26833,134.165,None
-879.0,278.0,427.0,26834,134.17,None
-876.0,276.0,427.0,26835,134.175,None
-877.0,274.0,428.0,26836,134.18,None
-881.0,277.0,428.0,26837,134.185,None
-880.0,278.0,427.0,26838,134.19,None
-877.0,277.0,426.0,26839,134.195,None
-876.0,277.0,423.0,26840,134.2,None
-877.0,275.0,423.0,26841,134.205,None
-877.0,277.0,424.0,26842,134.21,None
-882.0,275.0,422.0,26843,134.215,None
-881.0,274.0,424.0,26844,134.22,None
-880.0,274.0,424.0,26845,134.225,None
-881.0,275.0,420.0,26846,134.23,None
-886.0,275.0,418.0,26847,134.235,None
-884.0,274.0,418.0,26848,134.24,None
-880.0,274.0,420.0,26849,134.245,None
-879.0,277.0,417.0,26850,134.25,None
-876.0,277.0,418.0,26851,134.255,None
-877.0,274.0,419.0,26852,134.26,None
-878.0,275.0,419.0,26853,134.265,None
-880.0,277.0,419.0,26854,134.27,None
-881.0,278.0,416.0,26855,134.275,None
-882.0,277.0,416.0,26856,134.28,None
-884.0,278.0,416.0,26857,134.285,None
-886.0,278.0,414.0,26858,134.29,None
-889.0,279.0,412.0,26859,134.295,None
-889.0,279.0,413.0,26860,134.3,None
-889.0,280.0,413.0,26861,134.305,None
-889.0,279.0,415.0,26862,134.31,None
-885.0,279.0,412.0,26863,134.315,None
-887.0,278.0,412.0,26864,134.32,None
-885.0,278.0,414.0,26865,134.325,None
-883.0,277.0,415.0,26866,134.33,None
-884.0,276.0,416.0,26867,134.335,None
-880.0,276.0,417.0,26868,134.34,None
-880.0,275.0,418.0,26869,134.345,None
-878.0,276.0,419.0,26870,134.35,None
-877.0,274.0,422.0,26871,134.355,None
-876.0,273.0,423.0,26872,134.36,None
-877.0,273.0,421.0,26873,134.365,None
-877.0,273.0,422.0,26874,134.37,None
-876.0,272.0,424.0,26875,134.375,None
-878.0,272.0,424.0,26876,134.38,None
-877.0,273.0,425.0,26877,134.385,None
-876.0,272.0,425.0,26878,134.39,None
-878.0,274.0,423.0,26879,134.395,None
-878.0,274.0,425.0,26880,134.4,None
-881.0,274.0,423.0,26881,134.405,None
-881.0,274.0,424.0,26882,134.41,None
-880.0,272.0,424.0,26883,134.415,None
-877.0,274.0,424.0,26884,134.42,None
-877.0,276.0,418.0,26885,134.425,None
-885.0,278.0,417.0,26886,134.43,None
-884.0,277.0,416.0,26887,134.435,None
-881.0,277.0,417.0,26888,134.44,None
-878.0,278.0,416.0,26889,134.445,None
-879.0,279.0,416.0,26890,134.45,None
-879.0,278.0,416.0,26891,134.455,None
-879.0,275.0,417.0,26892,134.46,None
-879.0,277.0,416.0,26893,134.465,None
-878.0,278.0,417.0,26894,134.47,None
-878.0,277.0,417.0,26895,134.475,None
-877.0,277.0,417.0,26896,134.48,None
-878.0,277.0,417.0,26897,134.485,None
-881.0,277.0,417.0,26898,134.49,None
-879.0,274.0,417.0,26899,134.495,None
-877.0,272.0,419.0,26900,134.5,None
-880.0,272.0,416.0,26901,134.505,None
-881.0,272.0,418.0,26902,134.51,None
-879.0,274.0,416.0,26903,134.515,None
-881.0,272.0,417.0,26904,134.52,None
-882.0,272.0,417.0,26905,134.525,None
-882.0,273.0,417.0,26906,134.53,None
-884.0,274.0,414.0,26907,134.535,None
-888.0,273.0,412.0,26908,134.54,None
-886.0,272.0,409.0,26909,134.545,None
-889.0,273.0,409.0,26910,134.55,None
-890.0,274.0,406.0,26911,134.555,None
-885.0,275.0,411.0,26912,134.56,None
-885.0,277.0,412.0,26913,134.565,None
-886.0,277.0,414.0,26914,134.57,None
-885.0,277.0,414.0,26915,134.575,None
-881.0,275.0,416.0,26916,134.58,None
-877.0,276.0,416.0,26917,134.585,None
-878.0,275.0,412.0,26918,134.59,None
-876.0,275.0,415.0,26919,134.595,None
-877.0,276.0,417.0,26920,134.6,None
-879.0,278.0,419.0,26921,134.605,None
-878.0,279.0,419.0,26922,134.61,None
-879.0,278.0,416.0,26923,134.615,None
-881.0,275.0,417.0,26924,134.62,None
-881.0,271.0,415.0,26925,134.625,None
-883.0,271.0,414.0,26926,134.63,None
