X,Y,Z,NewNodetime
203.0,-147.0,-91.0,26811
196.0,-126.0,-77.0,26812
196.0,-112.0,-77.0,26813
196.0,-112.0,-63.0,26814
189.0,-147.0,-70.0,26815
189.0,-154.0,-56.0,26816
182.0,-133.0,-56.0,26817
175.0,-126.0,-56.0,26818
161.0,-140.0,-70.0,26819
161.0,-189.0,-70.0,26820
140.0,-210.0,-63.0,26821
119.0,-196.0,-70.0,26822
126.0,-224.0,-91.0,26823
112.0,-224.0,-91.0,26824
91.0,-224.0,-91.0,26825
84.0,-245.0,-98.0,26826
91.0,-245.0,-126.0,26827
77.0,-217.0,-119.0,26828
98.0,-224.0,-126.0,26829
98.0,-315.0,-119.0,26830
105.0,-315.0,-91.0,26831
91.0,-231.0,-91.0,26832
112.0,-238.0,-105.0,26833
112.0,-259.0,-105.0,26834
119.0,-238.0,-91.0,26835
126.0,-203.0,-84.0,26836
140.0,-210.0,-70.0,26837
140.0,-224.0,-77.0,26838
147.0,-245.0,-77.0,26839
154.0,-231.0,-98.0,26840
175.0,-224.0,-105.0,26841
168.0,-182.0,-105.0,26842
168.0,-182.0,-98.0,26843
154.0,-175.0,-91.0,26844
161.0,-189.0,-105.0,26845
175.0,-231.0,-119.0,26846
154.0,-273.0,-91.0,26847
133.0,-273.0,-49.0,26848
126.0,-238.0,-70.0,26849
126.0,-238.0,-91.0,26850
126.0,-245.0,-91.0,26851
91.0,-175.0,-70.0,26852
98.0,-161.0,-77.0,26853
98.0,-154.0,-84.0,26854
91.0,-112.0,-84.0,26855
91.0,-84.0,-84.0,26856
98.0,-98.0,-112.0,26857
112.0,-119.0,-112.0,26858
105.0,-98.0,-105.0,26859
98.0,-84.0,-98.0,26860
98.0,-119.0,-98.0,26861
98.0,-140.0,-98.0,26862
98.0,-182.0,-98.0,26863
105.0,-203.0,-84.0,26864
105.0,-231.0,-77.0,26865
105.0,-259.0,-77.0,26866
112.0,-287.0,-84.0,26867
112.0,-322.0,-84.0,26868
98.0,-336.0,-84.0,26869
105.0,-322.0,-91.0,26870
119.0,-322.0,-105.0,26871
105.0,-280.0,-105.0,26872
119.0,-287.0,-126.0,26873
126.0,-259.0,-140.0,26874
140.0,-259.0,-147.0,26875
147.0,-252.0,-133.0,26876
133.0,-238.0,-119.0,26877
133.0,-238.0,-105.0,26878
126.0,-224.0,-91.0,26879
133.0,-196.0,-91.0,26880
154.0,-196.0,-98.0,26881
154.0,-168.0,-84.0,26882
168.0,-175.0,-91.0,26883
196.0,-154.0,-84.0,26884
210.0,-147.0,-91.0,26885
196.0,-196.0,-77.0,26886
175.0,-189.0,-28.0,26887
161.0,-161.0,-35.0,26888
147.0,-168.0,-63.0,26889
126.0,-161.0,-63.0,26890
133.0,-168.0,-70.0,26891
105.0,-161.0,-63.0,26892
112.0,-217.0,-77.0,26893
105.0,-224.0,-84.0,26894
105.0,-224.0,-98.0,26895
105.0,-210.0,-112.0,26896
105.0,-196.0,-140.0,26897
112.0,-203.0,-154.0,26898
105.0,-203.0,-168.0,26899
98.0,-189.0,-168.0,26900
119.0,-189.0,-168.0,26901
112.0,-119.0,-154.0,26902
105.0,-119.0,-147.0,26903
112.0,-154.0,-133.0,26904
112.0,-161.0,-105.0,26905
91.0,-133.0,-77.0,26906
91.0,-154.0,-63.0,26907
91.0,-140.0,-49.0,26908
84.0,-140.0,-42.0,26909
84.0,-168.0,-21.0,26910
84.0,-196.0,-7.0,26911
63.0,-196.0,7.0,26912
63.0,-217.0,-7.0,26913
56.0,-224.0,-7.0,26914
70.0,-238.0,-21.0,26915
70.0,-273.0,-28.0,26916
56.0,-294.0,-21.0,26917
21.0,-266.0,-7.0,26918
-21.0,-224.0,7.0,26919
-21.0,-210.0,0.0,26920
35.0,-238.0,-63.0,26921
70.0,-252.0,-112.0,26922
84.0,-273.0,-147.0,26923
56.0,-245.0,-119.0,26924
28.0,-231.0,-70.0,26925
0.0,-252.0,-35.0,26926
-14.0,-322.0,-14.0,26927
-42.0,-385.0,0.0,26928
-63.0,-406.0,7.0,26929
-56.0,-413.0,7.0,26930
-49.0,-399.0,7.0,26931
-49.0,-378.0,28.0,26932
-35.0,-378.0,35.0,26933
-56.0,-406.0,35.0,26934
-70.0,-518.0,35.0,26935
-91.0,-560.0,49.0,26936
-91.0,-504.0,56.0,26937
-91.0,-448.0,63.0,26938
-77.0,-462.0,77.0,26939
-77.0,-476.0,91.0,26940
-84.0,-441.0,98.0,26941
-112.0,-350.0,119.0,26942
-119.0,-308.0,112.0,26943
-119.0,-308.0,98.0,26944
-119.0,-329.0,98.0,26945
-112.0,-315.0,98.0,26946
-112.0,-287.0,119.0,26947
-112.0,-238.0,126.0,26948
-119.0,-224.0,126.0,26949
-119.0,-231.0,126.0,26950
-105.0,-245.0,112.0,26951
-105.0,-210.0,119.0,26952
-84.0,-189.0,112.0,26953
-77.0,-175.0,112.0,26954
-49.0,-133.0,98.0,26955
-28.0,-77.0,98.0,26956
-14.0,-70.0,91.0,26957
-7.0,-70.0,91.0,26958
0.0,-63.0,77.0,26959
7.0,-70.0,70.0,26960
28.0,-77.0,63.0,26961
7.0,-63.0,84.0,26962
-21.0,-84.0,98.0,26963
-70.0,-77.0,126.0,26964
-119.0,-70.0,154.0,26965
