X,Y,Z,NewNodetime,Time(s),Label
-557.8,1499.6,-838.4,1381,6.905,None
-459.8,1541.6,-1006.4,1382,6.91,None
-284.8,1436.6,-1111.4,1383,6.915,None
-88.8,1247.6,-1209.4,1384,6.92,None
142.2,974.6,-1321.4,1385,6.925,None
422.2,680.6,-1433.4,1386,6.93,None
681.2,274.6,-1552.4,1387,6.935,None
828.2,-180.4,-1643.4,1388,6.94,None
940.2,-600.4,-1685.4,1389,6.945,None
961.2,-1027.4,-1727.4,1390,6.95,None
786.2,-1454.4,-1839.4,1391,6.955,None
429.2,-1664.4,-1965.4,1392,6.96,None
9.2,-1706.4,-2049.4,1393,6.965,None
-662.8,-1580.4,-1986.4,1394,6.97,None
-1621.8,-1251.4,-1811.4,1395,6.975,None
-2881.8,-747.4,-1552.4,1396,6.98,None
2096.8,-271.4,-1258.4,1397,6.985,None
304.8,295.6,-922.4,1398,6.99,None
-1515.2,1044.6,-565.4,1399,6.995,None
-3188.2,1954.6,-173.4,1400,7.0,None
1867.4,2822.6,253.6,1401,7.005,None
446.4,-2947.0,638.6,1402,7.01,None
-841.6,-2506.0,974.6,1403,7.015,None
-2199.6,-2506.0,1345.6,1404,7.02,None
3073.0,-2709.0,1779.6,1405,7.025,None
2219.0,-2499.0,2185.6,1406,7.03,None
1925.0,-1841.0,2479.6,1407,7.035,None
1981.0,-1190.0,2675.6,1408,7.04,None
2114.0,-987.0,2822.6,1409,7.045,None
2128.0,-1295.0,2934.6,1410,7.05,None
2149.0,-1820.0,3018.6,1411,7.055,None
2268.0,-2212.0,3102.6,1412,7.06,None
2590.0,-2401.0,3179.6,1413,7.065,None
3094.0,-2471.0,3242.6,1414,7.07,None
-2927.6,-2597.0,-3276.0,1415,7.075,None
-2451.6,-2849.0,3270.6,1416,7.08,None
-2024.6,-3220.0,3207.6,1417,7.085,None
-1632.6,2850.6,3039.6,1418,7.09,None
-1303.6,2479.6,2843.6,1419,7.095,None
-1058.6,2213.6,2689.6,1420,7.1,None
-974.6,2017.6,2542.6,1421,7.105,None
-1107.6,1975.6,2479.6,1422,7.11,None
-1373.6,1996.6,2500.6,1423,7.115,None
-1814.6,2059.6,2633.6,1424,7.12,None
-2416.6,2073.6,2857.6,1425,7.125,None
3276.0,1996.6,3158.6,1426,7.13,None
2275.0,1940.6,-3038.0,1427,7.135,None
1295.0,2122.6,-2639.0,1428,7.14,None
413.0,2493.6,-2191.0,1429,7.145,None
-413.0,2906.6,-1771.0,1430,7.15,None
-1155.0,3263.6,-1414.0,1431,7.155,None
-1750.0,-2905.0,-1120.0,1432,7.16,None
-2086.0,-2520.0,-903.0,1433,7.165,None
-2310.0,-2205.0,-756.0,1434,7.17,None
-2485.0,-2072.0,-735.0,1435,7.175,None
-2576.0,-2121.0,-616.0,1436,7.18,None
-2457.0,-1995.0,-672.0,1437,7.185,None
-2177.0,-1729.0,-791.0,1438,7.19,None
-1869.0,-1540.0,-945.0,1439,7.195,None
-1603.0,-1407.0,-1099.0,1440,7.2,None
-1344.0,-1253.0,-1211.0,1441,7.205,None
-1141.0,-1078.0,-1183.0,1442,7.21,None
-973.0,-924.0,-1127.0,1443,7.215,None
-903.0,-714.0,-1113.0,1444,7.22,None
-833.0,-483.0,-1029.0,1445,7.225,None
-889.0,-308.0,-910.0,1446,7.23,None
-1085.0,-252.0,-756.0,1447,7.235,None
-1351.0,-280.0,-560.0,1448,7.24,None
-1582.0,-308.0,-336.0,1449,7.245,None
-1778.0,-329.0,-77.0,1450,7.25,None
-2002.0,-406.0,182.0,1451,7.255,None
-2289.0,-497.0,406.0,1452,7.26,None
-2541.0,-623.0,588.0,1453,7.265,None
-2723.0,-637.0,700.0,1454,7.27,None
-2807.0,-595.0,749.0,1455,7.275,None
-2821.0,-476.0,798.0,1456,7.28,None
-2807.0,-413.0,805.0,1457,7.285,None
-2688.0,-427.0,735.0,1458,7.29,None
-2548.0,-511.0,616.0,1459,7.295,None
-2338.0,-567.0,476.0,1460,7.3,None
-2037.0,-567.0,308.0,1461,7.305,None
-1785.0,-567.0,154.0,1462,7.31,None
-1561.0,-665.0,28.0,1463,7.315,None
-1351.0,-742.0,-84.0,1464,7.32,None
-1113.0,-735.0,-168.0,1465,7.325,None
-938.0,-714.0,-224.0,1466,7.33,None
-938.0,-854.0,-343.0,1467,7.335,None
-1099.0,-1057.0,-532.0,1468,7.34,None
-1162.0,-1162.0,-595.0,1469,7.345,None
-1211.0,-1127.0,-539.0,1470,7.35,None
-1295.0,-1092.0,-476.0,1471,7.355,None
-1344.0,-1015.0,-378.0,1472,7.36,None
-1386.0,-952.0,-294.0,1473,7.365,None
-1456.0,-994.0,-280.0,1474,7.37,None
-1456.0,-1085.0,-329.0,1475,7.375,None
-1393.0,-1099.0,-364.0,1476,7.38,None
-1351.0,-1071.0,-427.0,1477,7.385,None
-1239.0,-1050.0,-441.0,1478,7.39,None
-1316.0,-973.0,-581.0,1479,7.395,None
-1162.0,-812.0,-602.0,1480,7.4,None
-1057.0,-742.0,-574.0,1481,7.405,None
-1043.0,-728.0,-581.0,1482,7.41,None
-1029.0,-756.0,-637.0,1483,7.415,None
-952.0,-721.0,-693.0,1484,7.42,None
-868.0,-665.0,-763.0,1485,7.425,None
-826.0,-686.0,-854.0,1486,7.43,None
-833.0,-735.0,-931.0,1487,7.435,None
-875.0,-784.0,-966.0,1488,7.44,None
-959.0,-819.0,-987.0,1489,7.445,None
-1092.0,-847.0,-1015.0,1490,7.45,None
-1225.0,-924.0,-1036.0,1491,7.455,None
