X,Y,Z,NewNodetime
-557.8,1499.6,-838.4,1381
-459.8,1541.6,-1006.4,1382
-284.8,1436.6,-1111.4,1383
-88.8,1247.6,-1209.4,1384
142.2,974.6,-1321.4,1385
422.2,680.6,-1433.4,1386
681.2,274.6,-1552.4,1387
828.2,-180.4,-1643.4,1388
940.2,-600.4,-1685.4,1389
961.2,-1027.4,-1727.4,1390
786.2,-1454.4,-1839.4,1391
429.2,-1664.4,-1965.4,1392
9.2,-1706.4,-2049.4,1393
-662.8,-1580.4,-1986.4,1394
-1621.8,-1251.4,-1811.4,1395
-2881.8,-747.4,-1552.4,1396
2096.8,-271.4,-1258.4,1397
304.8,295.6,-922.4,1398
-1515.2,1044.6,-565.4,1399
-3188.2,1954.6,-173.4,1400
1867.4,2822.6,253.6,1401
446.4,-2947.0,638.6,1402
-841.6,-2506.0,974.6,1403
-2199.6,-2506.0,1345.6,1404
3073.0,-2709.0,1779.6,1405
2219.0,-2499.0,2185.6,1406
1925.0,-1841.0,2479.6,1407
1981.0,-1190.0,2675.6,1408
2114.0,-987.0,2822.6,1409
2128.0,-1295.0,2934.6,1410
2149.0,-1820.0,3018.6,1411
2268.0,-2212.0,3102.6,1412
2590.0,-2401.0,3179.6,1413
3094.0,-2471.0,3242.6,1414
-2927.6,-2597.0,-3276.0,1415
-2451.6,-2849.0,3270.6,1416
-2024.6,-3220.0,3207.6,1417
-1632.6,2850.6,3039.6,1418
-1303.6,2479.6,2843.6,1419
-1058.6,2213.6,2689.6,1420
-974.6,2017.6,2542.6,1421
-1107.6,1975.6,2479.6,1422
-1373.6,1996.6,2500.6,1423
-1814.6,2059.6,2633.6,1424
-2416.6,2073.6,2857.6,1425
3276.0,1996.6,3158.6,1426
2275.0,1940.6,-3038.0,1427
1295.0,2122.6,-2639.0,1428
413.0,2493.6,-2191.0,1429
-413.0,2906.6,-1771.0,1430
-1155.0,3263.6,-1414.0,1431
-1750.0,-2905.0,-1120.0,1432
-2086.0,-2520.0,-903.0,1433
-2310.0,-2205.0,-756.0,1434
-2485.0,-2072.0,-735.0,1435
-2576.0,-2121.0,-616.0,1436
-2457.0,-1995.0,-672.0,1437
-2177.0,-1729.0,-791.0,1438
-1869.0,-1540.0,-945.0,1439
-1603.0,-1407.0,-1099.0,1440
-1344.0,-1253.0,-1211.0,1441
-1141.0,-1078.0,-1183.0,1442
-973.0,-924.0,-1127.0,1443
-903.0,-714.0,-1113.0,1444
-833.0,-483.0,-1029.0,1445
-889.0,-308.0,-910.0,1446
-1085.0,-252.0,-756.0,1447
-1351.0,-280.0,-560.0,1448
-1582.0,-308.0,-336.0,1449
-1778.0,-329.0,-77.0,1450
-2002.0,-406.0,182.0,1451
-2289.0,-497.0,406.0,1452
